fname,labels,mids,split
213166,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
344272,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
216279,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
216280,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
204116,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
204124,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
204126,"Crushing,Glass","/m/07plct2,/m/039jq",train
245167,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
368330,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
368352,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
383978,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
367624,"Shatter,Glass","/m/07rn7sz,/m/039jq",val
355340,"Shatter,Glass","/m/07rn7sz,/m/039jq",val
249873,"Shatter,Glass","/m/07rn7sz,/m/039jq",val
249874,"Shatter,Glass","/m/07rn7sz,/m/039jq",val
254993,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
179227,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
179228,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
179229,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
179230,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
179231,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
179232,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
179233,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
179234,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
179235,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
179236,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
324645,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
179239,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
179240,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
179241,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
179242,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
322603,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
322602,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
195624,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
68654,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
179249,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
179250,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
179251,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
349240,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
179259,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
179263,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
179264,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
179265,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
371786,"Shatter,Glass","/m/07rn7sz,/m/039jq",val
352331,"Shatter,Glass","/m/07rn7sz,/m/039jq",val
272489,"Shatter,Liquid,Glass","/m/07rn7sz,/m/04k94,/m/039jq",val
387177,"Shatter,Crushing,Glass","/m/07rn7sz,/m/07plct2,/m/039jq",val
85107,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
93299,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
194682,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
194683,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
194684,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
194685,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
124030,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
233605,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
233606,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
233607,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
379015,"Shatter,Glass","/m/07rn7sz,/m/039jq",val
255114,"Shatter,Crushing,Glass","/m/07rn7sz,/m/07plct2,/m/039jq",train
145558,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
145559,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
145562,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
145563,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
367770,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
213153,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
213154,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
213156,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
213158,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
213159,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
213160,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
213161,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
213162,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
213163,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
213164,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
213165,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
85168,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
270515,"Shatter,Liquid,Glass","/m/07rn7sz,/m/04k94,/m/039jq",train
270516,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
270517,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
270518,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
372919,"Shatter,Glass","/m/07rn7sz,/m/039jq",val
85184,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
344265,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
344266,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
344267,"Shatter,Glass","/m/07rn7sz,/m/039jq",train
