fname,labels,mids,split,audio_path
97554,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/04brg2,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
196336,Crackle,/m/07pzfmf,train,data/FSD50K/FSD50K.dev_audio_16k/
194664,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
134885,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",val,data/FSD50K/FSD50K.dev_audio_16k/
124522,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
335962,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
180690,"Cutlery_and_silverware,Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/023pjk,/m/04brg2,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
33921,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/04brg2,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
337522,Crumpling_and_crinkling,/t/dd00112,train,data/FSD50K/FSD50K.dev_audio_16k/
322227,Tearing,/m/07qcx4z,train,data/FSD50K/FSD50K.dev_audio_16k/
79618,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
325221,Crumpling_and_crinkling,/t/dd00112,train,data/FSD50K/FSD50K.dev_audio_16k/
398817,Crackle,/m/07pzfmf,train,data/FSD50K/FSD50K.dev_audio_16k/
79136,Crumpling_and_crinkling,/t/dd00112,train,data/FSD50K/FSD50K.dev_audio_16k/
323164,"Coin_(dropping),Wood,Domestic_sounds_and_home_sounds","/m/0242l,/m/083vt,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
267004,"Cutlery_and_silverware,Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/023pjk,/m/04brg2,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
46198,Crumpling_and_crinkling,/t/dd00112,train,data/FSD50K/FSD50K.dev_audio_16k/
339450,Crackle,/m/07pzfmf,train,data/FSD50K/FSD50K.dev_audio_16k/
429381,Tearing,/m/07qcx4z,train,data/FSD50K/FSD50K.dev_audio_16k/
144883,"Frying_(food),Dishes_and_pots_and_pans,Alarm,Domestic_sounds_and_home_sounds","/m/0dxrf,/m/04brg2,/m/07pp_mv,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
269338,Crumpling_and_crinkling,/t/dd00112,,data/FSD50K/FSD50K.eval_audio_16k/
336631,"Crack,Crushing","/m/07qs1cx,/m/07plct2",train,data/FSD50K/FSD50K.dev_audio_16k/
105417,Crushing,/m/07plct2,,data/FSD50K/FSD50K.eval_audio_16k/
369490,Crumpling_and_crinkling,/t/dd00112,val,data/FSD50K/FSD50K.dev_audio_16k/
275492,Crushing,/m/07plct2,train,data/FSD50K/FSD50K.dev_audio_16k/
20212,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",val,data/FSD50K/FSD50K.dev_audio_16k/
173329,Crack,/m/07qs1cx,,data/FSD50K/FSD50K.eval_audio_16k/
60768,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
323635,Crumpling_and_crinkling,/t/dd00112,val,data/FSD50K/FSD50K.dev_audio_16k/
18340,Tearing,/m/07qcx4z,,data/FSD50K/FSD50K.eval_audio_16k/
366973,Tearing,/m/07qcx4z,,data/FSD50K/FSD50K.eval_audio_16k/
194665,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
